[2019-11-04 16:48:37.133877 +01:00] INFO [src\cpu.rs:335] C000  4C F5     JMP A:00 X:00 Y:00 P:24 SP:FD
[2019-11-04 16:48:37.133877 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:24 SP:FD
[2019-11-04 16:48:37.133877 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:26 SP:FD
[2019-11-04 16:48:37.133877 +01:00] INFO [src\cpu.rs:335] C5F9  86 10     STX A:00 X:00 Y:00 P:26 SP:FD
[2019-11-04 16:48:37.133877 +01:00] INFO [src\cpu.rs:335] C5FB  86 11     STX A:00 X:00 Y:00 P:26 SP:FD
[2019-11-04 16:48:37.134877 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:26 SP:FD
[2019-11-04 16:48:37.134877 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:26 SP:FB
[2019-11-04 16:48:37.134877 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:F9
[2019-11-04 16:48:37.134877 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:F9
[2019-11-04 16:48:37.134877 +01:00] INFO [src\cpu.rs:335] C5F9  86 10     STX A:00 X:00 Y:00 P:36 SP:F9
[2019-11-04 16:48:37.134877 +01:00] INFO [src\cpu.rs:335] C5FB  86 11     STX A:00 X:00 Y:00 P:36 SP:F9
[2019-11-04 16:48:37.134877 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:F9
[2019-11-04 16:48:37.134877 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:F7
[2019-11-04 16:48:37.134877 +01:00] INFO [src\cpu.rs:335] C5F5  A2 00     LDX A:00 X:00 Y:00 P:36 SP:F5
[2019-11-04 16:48:37.134877 +01:00] INFO [src\cpu.rs:335] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:F5
[2019-11-04 16:48:37.134877 +01:00] INFO [src\cpu.rs:335] C5F9  86 10     STX A:00 X:00 Y:00 P:36 SP:F5
[2019-11-04 16:48:37.135877 +01:00] INFO [src\cpu.rs:335] C5FB  86 11     STX A:00 X:00 Y:00 P:36 SP:F5
[2019-11-04 16:48:37.135877 +01:00] INFO [src\cpu.rs:335] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:F5
[2019-11-04 16:48:37.135877 +01:00] INFO [src\cpu.rs:335] 00EA  0 00     BRK A:00 X:00 Y:00 P:36 SP:F3
