DEBUG [nes] Loaded rom:"nestest.nes"
INFO [nes::cpu] C004  78 D8     SEI A:00 X:00 Y:00 P:24 SP:FD
INFO [nes::cpu] C005  D8 A2     CLD A:00 X:00 Y:00 P:24 SP:FD
INFO [nes::cpu] C006  A2 FF     LDX A:00 X:00 Y:00 P:24 SP:FD
INFO [nes::cpu] C008  9A AD     TXS A:00 X:FF Y:00 P:A4 SP:FD
INFO [nes::cpu] C009  AD 02     LDA A:00 X:FF Y:00 P:A4 SP:FF
INFO [nes::cpu] C00C  10 FB     BPL A:00 X:FF Y:00 P:26 SP:FF
INFO [nes::cpu] C109  02 2D     BRK A:00 X:FF Y:00 P:26 SP:FF
INFO [nes::cpu] C5F5  A2 00     LDX A:00 X:FF Y:00 P:36 SP:FD
INFO [nes::cpu] C5F7  86 00     STX A:00 X:00 Y:00 P:36 SP:FD
INFO [nes::cpu] C5F9  86 10     STX A:00 X:00 Y:00 P:36 SP:FD
INFO [nes::cpu] C5FB  86 11     STX A:00 X:00 Y:00 P:36 SP:FD
INFO [nes::cpu] C5FD  20 2D     JSR A:00 X:00 Y:00 P:36 SP:FD
INFO [nes::cpu] C72D  EA 38     NOP A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C72E  38 B0     SEC A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C72F  B0 04     BCS A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C735  EA 18     NOP A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C736  18 B0     CLC A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C737  B0 03     BCS A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C739  4C 40     JMP A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C740  EA 38     NOP A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C741  38 90     SEC A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C742  90 03     BCC A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C744  4C 4B     JMP A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C74B  EA 18     NOP A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C74C  18 90     CLC A:00 X:00 Y:00 P:37 SP:FB
INFO [nes::cpu] C74D  90 04     BCC A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C753  EA A9     NOP A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C754  A9 00     LDA A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C756  F0 04     BEQ A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C75C  EA A9     NOP A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C75D  A9 40     LDA A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C75F  F0 03     BEQ A:40 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C761  4C 68     JMP A:40 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C768  EA A9     NOP A:40 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C769  A9 40     LDA A:40 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C76B  D0 04     BNE A:40 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C771  EA A9     NOP A:40 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C772  A9 00     LDA A:40 X:00 Y:00 P:34 SP:FB
INFO [nes::cpu] C774  D0 03     BNE A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C776  4C 7D     JMP A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C77D  EA A9     NOP A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C77E  A9 FF     LDA A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C780  85 01     STA A:FF X:00 Y:00 P:B4 SP:FB
INFO [nes::cpu] C782  24 01     BIT A:FF X:00 Y:00 P:B4 SP:FB
INFO [nes::cpu] C784  70 04     BVS A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C78A  EA 24     NOP A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C78B  24 01     BIT A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C78D  50 03     BVC A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C78F  4C 96     JMP A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C796  EA A9     NOP A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C797  A9 00     LDA A:FF X:00 Y:00 P:F4 SP:FB
INFO [nes::cpu] C799  85 01     STA A:00 X:00 Y:00 P:76 SP:FB
INFO [nes::cpu] C79B  24 01     BIT A:00 X:00 Y:00 P:76 SP:FB
INFO [nes::cpu] C79D  50 04     BVC A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C7A3  EA 24     NOP A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C7A4  24 01     BIT A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C7A6  70 03     BVS A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C7A8  4C AF     JMP A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C7AF  EA A9     NOP A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C7B0  A9 00     LDA A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C7B2  10 04     BPL A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C7B8  EA A9     NOP A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C7B9  A9 80     LDA A:00 X:00 Y:00 P:36 SP:FB
INFO [nes::cpu] C7BB  10 03     BPL A:80 X:00 Y:00 P:B4 SP:FB
INFO [nes::cpu] C7BD  4C D9     JMP A:80 X:00 Y:00 P:B4 SP:FB
INFO [nes::cpu] C7D9  EA 60     NOP A:80 X:00 Y:00 P:B4 SP:FB
